,longitude,latitude
90,-0.1383,51.5399
91,-0.16242,51.49318
92,-0.13999,51.54127
93,-0.14033,51.53971
94,-0.2270651631033318,51.51163204239025
95,-0.11086,51.53275
96,-0.12562,51.51318
97,-0.19028,51.51246
98,-0.13854,51.4905
99,-0.2263,51.5169
100,-0.1682,51.462
101,-0.11783,51.46279
102,-0.03759,51.595
103,-0.20647,51.49058
104,-0.02193,51.50801
105,-0.47962,51.52446
106,-0.09508,51.50116
107,-0.24046,51.4746
108,-0.10911,51.55191
109,-0.25819,51.51796
110,-0.16646,51.49303
111,-0.1386,51.52099
112,-0.13367,51.51599
113,-0.13229,51.51617
114,-0.08329,51.526
115,-0.07214,51.50849
116,-0.22621,51.49904
117,-0.11644,51.52935
118,-0.18412,51.4823
119,-0.15957,51.48598
120,-0.16312,51.52541
121,-0.16927,51.49923
122,-0.17153,51.49928
123,-0.13605,51.48909
124,-0.09482,51.54734
125,-0.18945,51.48631
126,-0.04547,51.53831
127,-0.18708,51.51055
128,-0.24976,51.58876
129,-0.21515,51.50642
130,-0.20081,51.48268
131,-0.13249,51.49061
132,-0.12365,51.50694
133,-0.01961,51.50094
134,-0.17165,51.54642
135,-0.11655,51.52937
136,-0.23597,51.53496
137,-0.08171,51.38271
138,-0.18465,51.48262
139,-0.20408,51.52929
140,-0.19017,51.5017
141,-0.3136,51.41334
142,-0.13815,51.49065
143,-0.1315,51.51511
144,-0.13177,51.49571
145,-0.00647,51.54858
146,-0.12814,51.57448
147,0.01218,51.49715
148,-0.1940590441632925,51.54126581782464
149,-0.29683,51.45825
150,0.100149,51.479504
151,-0.12009,51.4852
152,-0.29918,51.50782
153,-0.14905,51.5215
154,-0.11655,51.52937
155,-0.18367,51.49293
156,-0.19176,51.52862
157,-0.21137,51.46358
158,-0.13512,51.52114
159,-0.13377,51.51248
160,-0.361031,51.45879
161,-0.34184,51.40513
162,-0.34026,51.40691
163,-0.34039,51.40694
164,-0.34026,51.40698
165,-0.13686,51.4885
166,-0.07283,51.51642
167,-0.1644,51.48956
168,-0.1091,51.52336
169,-0.10921,51.52461
170,-0.10758,51.52504
171,-0.16422,51.49268
172,-0.14021,51.52195
173,-0.16442,51.48954
174,-0.19434,51.49752
175,-0.18245,51.55002
176,-0.10938,51.52482
177,-0.10641,51.56432
178,-0.18123,51.55038
179,-0.23666,51.50876
180,-0.18056,51.48687
181,-0.11578,51.45559
182,-0.16439,51.49359
183,-0.18744,51.48709
184,-0.19062,51.49067
185,-0.21416,51.50454
186,-0.17931,51.49374
187,-0.30856,51.45502
188,-0.14647,51.50602
189,-0.17997,51.48005
190,-0.18103,51.54843
191,-0.19362,51.46939
192,-0.20698,51.4889
193,-0.20111,51.48383
194,-0.13703,51.48869
195,-0.10728,51.52476
196,-0.10769,51.52522
197,-0.10961,51.52299
198,-0.10926,51.52489
199,-0.16799,51.49303
200,-0.27582,51.51114
201,-0.16711,51.49161
202,-0.12798,51.51009
203,-0.01862,51.51832
204,-0.08178,51.38271
205,-0.1823,51.47238
206,-0.22759,51.49538
207,-0.18885,51.51183
208,-0.12294,51.5125
209,-0.09772,51.53954
210,-0.12404,51.51169
211,-0.11505,51.46167
212,-0.13882,51.54233
213,-0.30718,51.49106
214,-0.05713,51.49522
215,-0.22777,51.42008
216,-0.24315,51.39291
217,-0.24299,51.39292
218,-0.1942,51.50947
219,-0.18688,51.49404
220,-0.07111,51.52068
221,-0.10697,51.4867
222,-0.16783,51.51822
223,-0.07155,51.52084
224,-0.08839,51.47984
225,-0.12366,51.5158
226,-0.13144,51.51283
227,-0.16014,51.54885
228,-0.18684,51.49616
229,-0.17364,51.5171
230,-0.13923,51.49119
231,-0.09861,51.58084
232,-0.27575,51.52043
233,-0.13754,51.54113
234,-0.18007,51.42314
235,-0.01959,51.49891
236,-0.01814,51.59299
237,-0.03818,51.59251
238,-0.17139,51.46108
239,-0.09861,51.58084
240,-0.14156,51.52062
241,-0.16986,51.51744
242,-0.14044,51.49296
243,-0.15221,51.54863
244,-0.08876,51.52508
245,-0.16796,51.51391
246,-0.0823,51.52784
247,-0.1351,51.50984
248,-0.14105,51.49164
249,-0.2478,51.59232
250,-0.13952,51.49115
251,-0.15646,51.43963
252,-0.29713,51.53091
253,-0.12349,51.51588
254,-0.08996,51.59385
255,-0.04422,51.55228
256,-0.2011,51.48026
257,-0.01917,51.50117
258,-0.07354,51.51196
259,0.17263,51.56595
260,-0.07719,51.52995
261,-0.00856,51.5608
262,-0.15574,51.49358
263,-0.1124,51.5311
264,-0.11976,51.53127
265,-0.02326,51.47442
266,-0.12034,51.53314
267,-0.20635,51.49271
268,-0.11981,51.53334
269,-0.11908,51.53325
270,-0.12009,51.53336
271,-0.20881,51.51498
272,-0.01935,51.50075
273,-0.13734,51.51478
274,-0.13666,51.51534
275,-0.03943,51.59562
